,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_WORTH_GROWTH,SALES_REV_TURN,RETURN_ON_ASSET,IS_EPS,WACC
16843,2004,BD,9.0909,,,39.2857,-13.2495,26078.5,0.6449,1.18,10.6332
16844,2005,BD,9.0909,,,39.2857,6.0497,23276.8,0.5186,0.99,10.0196
16845,2006,BD,9.0909,,,39.2857,-17.1311,18047.2,-2.1323,-4.41,11.497
16846,2007,BD,9.0909,,,39.2857,-74.0056,18404.6,-3.1255,-6.13,10.8495
16847,2008,BD,9.0909,,,39.2857,90.4887,25825.6,0.9039,1.7,10.6556
16848,2009,BD,9.0909,,,39.2857,-67.1838,41923.1,26.625,60.1216,12.3081
16849,2010,BD,9.0909,,,39.2857,-58.4067,18409.5,6.5615,15.87,11.5442
16850,2011,BD,9.0909,,,39.2857,-58.4067,11592.8,-9.9284,-22.71,8.8865
16851,2012,BD,9.0909,,,39.2857,-334.3042,19444.7,-10.3805,-22.29,9.7228
16852,2013,BD,9.0909,,,39.2857,-70.5446,26737.3,-14.3035,-25.02,10.2461
16853,2014,BD,,,,,,,,,
16854,2015,BD,,,,,,,,,
16855,2016,BD,,,,,,,,,
16856,2017,BD,,,,,,,,,
16857,2018,BD,,,,,,,,,
16858,2019,BD,,,,,,,,,
16859,2020,BD,,,,,,,,,
16860,2021,BD,,,,,,,,,
16861,2022,BD,,,,,,,,,
16862,2023,BD,,,,,,,,,
22071,2003,KTG,,,,,,,,,
22072,2004,KTG,,,,,,,,,
22073,2005,KTG,,,,,,,,,
22074,2006,KTG,9.0909,,,39.2857,,4422.1005,,8.6286,9.6997
22075,2007,KTG,9.0909,,,39.2857,51.5052,5110.9593,20.9828,14.8143,11.5021
22076,2008,KTG,9.0909,,,39.2857,38.3208,5458.1668,19.7345,16.4929,13.6893
22077,2009,KTG,9.0909,,,39.2857,21.8071,4848.111,14.7562,12.5501,12.0631
22078,2010,KTG,9.0909,,,39.2857,9.9218,5114.116,11.0072,9.5563,11.2727
22079,2011,KTG,9.0909,,,39.2857,17.35,5632.226,10.5251,10.7437,10.8644
22080,2012,KTG,9.0909,,,39.2857,11.8373,6945.197,12.98,15.54,17.0663
22081,2013,KTG,9.0909,,,39.2857,8.4815,4279.8,6.6899,8.16,10.2462
22082,2014,KTG,9.0909,,,39.2857,16.7261,7463.041,14.0502,18.82,10.7293
22083,2015,KTG,9.0909,,,39.2857,5.686,5569.955,5.4102,8.65,10.9203
22084,2016,KTG,,,,,,,,,
22085,2017,KTG,,,,,,,,,
22086,2018,KTG,,,,,,,,,
22087,2019,KTG,,,,,,,,,
22088,2020,KTG,,,,,,,,,
22089,2021,KTG,,,,,,,,,
22090,2022,KTG,,,,,,,,,
22091,2023,KTG,,,,,,,,,
