Dates,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_INCOME,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,RETURN_COM_EQY,SALES_REV_TURN,BS_TOT_ASSET,BS_CUR_ASSET_REPORT,BS_TOT_NON_CUR_ASSET,BS_TOTAL_LIABILITIES,BS_CUR_LIAB,NON_CUR_LIAB,BS_PURE_RETAINED_EARNINGS,BS_RETAIN_EARN,IS_TOTAL_EXPENSES,BS_SH_OUT,BS_GOODWILL,CF_DVD_PAID,IS_RD_EXPEND,NET_OPER_PROFIT_AFTER_TAX,NET_OPER_PROFIT_AFTER_TAX.1,NET_INCOME.1,EBIT,EBK_EMPL_TURNOVER_RATE,NUMBER_EMPLOYEES_CSR,WACC_COST_EQUITY,WACC,WACC_COST_DEBT,WACC.1,FNCL_LVRG,BOOK_VAL_PER_SH,IS_EPS,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY
2020-03-31,IPRU,28.2265,2.084,16.3845,66.0747,10669.794,,1.2811,0.6687,14.9701,245920.052,1560308.199,,,,33321.061,,12662.916,23474.951,,1435.8626,0.0,-4067.184,,101032.5275,101032.5275,10669.794,,,14630.0,18.1436,18.1436,0.0,18.1436,22.3866,50.2309,7.43,7.0813,2.4157,0.0
2021-03-31,IPRU,30.007,2.4162,16.3845,71.0716,9561.554,,1.2526,0.5123,11.7164,868360.481,2172198.947,,,,37305.903,,12662.916,42397.463,,1435.9032,0.0,-0.022,,139482.0616,139482.0616,9561.554,,,14413.0,9.6956,9.6563,7.5561,9.6563,22.8683,63.4393,6.66,7.024,26.2989,13.1734
2022-03-31,IPRU,37.7527,6.9767,20.0121,86.0927,7592.02,,1.2571,0.3289,8.3122,667508.319,2444430.395,,,,52522.577,,12662.916,42381.619,,1437.3061,0.0,-2872.576,,144341.7695,144341.7695,7592.02,,27.0,15530.0,10.7511,10.7227,9.0176,10.7227,25.2727,63.7163,5.28,7.8614,0.5348,13.1033
2023-03-31,IPRU,37.7527,6.9767,20.0121,86.0927,8134.94,,1.2055,0.3252,8.453,533881.374,2558513.009,,,,56944.091,,12662.916,51208.012,,1438.5714,0.0,-790.524,,178568.4465,178568.4465,8134.94,,27.0,17825.0,9.9371,9.9219,9.1229,9.9219,25.9927,70.1357,5.66,6.2122,10.172,11.8935
2003-03-31,TPWR,7.9156,-25.4137,-5.1216,54.1169,5199.2,1.4201,0.7779,6.024,12.4038,41935.3,86410.9,24661.7,61749.2,,15216.5,29620.9,10194.1,28994.4,,2050.7211,45.6,-983.0,61.75,6804.3361,6804.3361,5199.2,8859.3,,,6.8164,5.3729,4.0262,5.3729,2.0591,20.2726,2.5351,0.5384,-1.6214,57.7098
2004-03-31,TPWR,11.088,-20.8389,-2.1457,56.087,5024.1001,2.246,1.3155,5.8753,11.2302,39917.6992,84612.2969,19533.6992,65078.5989,,15684.5,20925.1992,8664.0996,35655.1992,,2050.721,45.6,-1448.6,10.28,6058.3377,6058.3377,5024.1001,8933.0996,,,6.4725,5.8389,3.5822,5.8389,1.9114,23.3584,2.2446,1.5573,15.2215,43.7207
2005-03-31,TPWR,14.2603,-16.2641,0.8303,58.057,5909.7002,1.7394,1.2094,6.2632,12.1707,44411.6016,104101.0,28026.8008,76074.2019,,16219.4004,37713.4008,10803.7002,39871.3008,,2052.0182,45.6,-1572.2,10.28,5402.8649,5402.8649,5909.7002,7605.0,,,8.0747,6.9577,4.8457,6.9577,1.9432,23.9823,2.879,1.443,2.736,76.3179
2006-03-31,TPWR,17.4326,-11.6893,3.8062,60.0271,7474.0,2.0314,1.5699,6.7727,15.2505,53301.5,116607.2,32898.6,83708.6,,17765.7,47969.8,14122.3,39505.5,,2050.7211,45.6,-1716.1,57.295,5821.6659,5821.6659,7474.0,6943.1,,,7.8665,7.3832,6.0659,7.3832,2.2517,23.7986,3.6411,2.3616,-0.8291,86.6415
2007-03-31,TPWR,20.605,-7.1144,6.7822,61.9972,7596.1,1.8287,1.3402,5.9854,14.7631,63809.4,137213.5,43317.1,93896.4,,23147.6,57467.1,27868.7,44798.6,,2050.7211,45.6,-2002.4,48.998,5821.6659,5821.6659,7596.1,6328.6,,,9.1422,8.4707,7.1636,8.4707,2.4665,26.3822,3.7006,1.8629,10.8564,95.7157
2008-03-31,TPWR,23.7773,-2.5396,9.7581,63.9673,10550.7,4.8338,2.2614,7.4952,16.1558,107872.5,144318.4,51963.5,92354.9,,40453.6,19293.6,30509.5,52601.6,,2287.0104,42144.9,-2364.7,48.998,14859.0656,14859.0656,10550.7,19694.1,,,8.3759,8.2592,6.3391,8.2592,2.1555,33.4539,4.8506,3.3793,41.4156,20.5522
